Name;Descrição;Função;Dificuldade;Skills;Skins;Link
Gnar;Gnar é um yordle primitivo cujas artimanhas brincalhonas podem irromper em uma raiva infantil em um instante, transformando-o em uma besta gigantesca determinada a destruir. Congelada em Gelo Verdadeiro por milênios, essa criatura curiosa se libertou e...;Lutador / Tanque;Alta;['Fúria Genética', 'Bumerangue / Pedregulho', 'Hiperativo / Safanão', 'Pirueta / Encontrão', 'GNAR!'];['Gnarossauro', 'Gnar Cavalheiro', 'Gnar Dia Nevado', 'Gnar El León', 'Gnar Supergaláctico', 'SSG Gnar', 'Gnar Astronauta', 'Gnar Sabugueiro', 'Gnar La Ilusión'];https://www.leagueoflegends.com//pt-br/champions/gnar/
Gragas;Igualmente alegre e imponente, Gragas é um gigante e arruaceiro mestre-cervejeiro em uma busca pessoal pelo mais perfeito caneco de cerveja. Vindo de partes desconhecidas, ele busca por ingredientes raros entre a vastidão intocada de Freljord, testando...;Lutador / Mago;Média;['Happy Hour', 'Jogar o Barril', 'Fúria da Bebedeira', 'Barrigada', 'Barril Explosivo'];['Gragas Mergulhador', 'Gragas Caipira', 'Gragas Noel', 'Gragas, o Ilustre', 'Gragas Vândalo', 'Gragas Oktoberfest', 'Gragas Fã de Carteirinha', 'Fnatic Gragas', 'Gragas Quebra-Barris', 'Gragas Operação no Ártico', 'Gragas Vigia', 'Gragas Embalos no Espaço', 'Gragas Velho Oeste'];https://www.leagueoflegends.com//pt-br/champions/gragas/
Graves;Malcolm Graves, mercenário, apostador e bandido de renome, é um homem procurado em cada uma das cidades e impérios que visitou. Apesar do seu temperamento explosivo, ele é dono de uma noção rigorosa de honra entre criminosos, normalmente aplicada com o...;Atirador;Baixa;['Nova Destino', 'Fim da Linha', 'Cortina de Fumaça', 'Saque Rápido', 'Efeito Colateral'];['Graves Mercenário', 'Graves Fugitivo', 'Graves Cidade do Crime', 'Riot Graves', 'Graves Curtindo o Verão', 'Graves Degolador', 'Graves Dia Nevado', 'Graves Vitorioso', 'Graves Pretoriano', 'Graves Professor da Academia', 'Graves Sentinela', 'Graves EDG', 'Graves de Porcelana'];https://www.leagueoflegends.com//pt-br/champions/graves/
Gwen;Uma boneca que ganhou vida por magia, Gwen empunha as mesmas ferramentas que um dia a criaram. Valorizando todo instante, ela carrega a força do amor de sua criadora a cada passo e comanda a Névoa Sagrada, uma magia protetora ancestral que abençoou a...;Lutador;Média;['Mil Retalhos', 'Corte e Recorte', 'Névoa Sagrada', 'Avanço Afiado', 'Ponto-Cruz'];['Gwen Embalos no Espaço', 'Gwen Kawaii Café', 'Gwen Soul Fighter'];https://www.leagueoflegends.com//pt-br/champions/gwen/
Hecarim;Hecarim é a fusão espectral de homem e animal, amaldiçoado a cavalgar entre as almas dos vivos por toda a eternidade. Quando as Ilhas das Bênçãos caíram nas sombras, esse cavaleiro orgulhoso foi obliterado pelas energias destrutivas da Ruína, junto com...;Lutador / Tanque;Média;['Caminho da Guerra', 'Enfurecido', 'Espírito do Pavor', 'Ataque Devastador', 'Massacre das Sombras'];['Hecarim Cavaleiro Sanguinário', 'Hecarim Ceifador', 'Hecarim-sem-Cabeça', 'Hecarim Fliperama', 'Hecarim Sabugueiro', 'Hecarim Quebra-mundos', 'Hecarim Lanceiro Zero', 'Hecarim Velho Oeste', 'Hecarim Cavalaria Cósmica', 'Hecarim Arcana', 'Hecarim Bênção do Inverno'];https://www.leagueoflegends.com//pt-br/champions/hecarim/
Heimerdinger;Um cientista brilhante, mesmo que excêntrico, o Professor Cecil B. Heimerdinger é um dos inventores mais inovadores e estimados que Piltover já conheceu. Incansável em seu trabalho ao ponto da obsessão neurótica, ele busca responder as questões mais...;Mago / Suporte;Alta;['Afinidade Hextec', 'Torre Evolutiva H-28G', 'Micro-Mísseis Hextec', 'Granada de Tempestade de Elétrons CH-2', 'MELHORIA!!!'];['Heimerdinger Invasor Marciano', 'Heimerdinger em Manutenção', 'Heimerdinger Tunando em Piltover', 'Heimerdinger Boneco de Neve', 'Heimerdinger Substâncias Perigosas', 'Heimerdinger Treinador de Dragões', 'Heimerdinger Curtindo o Verão', 'Heimeldinger'];https://www.leagueoflegends.com//pt-br/champions/heimerdinger/
Hwei;Hwei é um pintor melancólico que cria obras de arte geniais para combater os criminosos de Ionia e trazer conforto às vítimas deles. Por trás de sua melancolia, esconde-se uma mente emocionalmente dilacerada, assombrada pelas visões vibrantes de sua...;Mago / Suporte;Alta;['Assinatura do Visionário', 'Tema: Desastre', 'Tema: Serenidade', 'Tema: Tormento', 'Desespero Vertiginoso'];['Hwei Bênção do Inverno'];https://www.leagueoflegends.com//pt-br/champions/hwei/
Illaoi;O poderoso porte físico de Illaoi só perde para sua fé indomável. Como profetisa do Grande Cráquem, ela usa um gigantesco totem dourado para arrancar o espírito de seus inimigos de seus corpos e estilhaçar a sua percepção da realidade. Todos os que...;Lutador / Tanque;Média;['Profetisa de um Deus Ancião', 'Golpe de Tentáculo', 'Lição Dura', 'Teste de Espírito', 'Salto de Fé'];['Illaoi Portadora do Vazio', 'Illaoi da Resistência', 'Illaoi Evocadora Cósmica', 'Illaoi Lua Nevada'];https://www.leagueoflegends.com//pt-br/champions/illaoi/
Irelia;A ocupação noxiana de Ionia produziu muitos heróis, mas nenhum era mais improvável do que a jovem Irelia de Navori. Treinada nas antigas danças de Ionia, ela adaptou sua arte à guerra, usando movimentos graciosos e cuidadosamente executados para levitar...;Lutador / Assassino;Média;['Fervor Ioniano', 'Surto da Lâmina', 'Dança Desafiadora', 'Dueto Impecável', 'Lâmina da Vanguarda'];['Irelia Lâminas Noturnas', 'Irelia Aviadora', 'Irelia Ninja', 'Irelia Lâminas Gélidas', 'Irelia Ordem do Lótus', 'Irelia Espada Divina', 'IG Irelia', 'PROJETO: Irelia', 'PROJETO: Irelia de Prestígio', 'Irelia Velho Oeste', 'Irelia Sentinela', 'PROJETO: Irelia de Prestígio (2022)', 'Irelia Criadora Mítica', 'Irelia de Porcelana'];https://www.leagueoflegends.com//pt-br/champions/irelia/
Ivern;Ivern Bramblefoot, conhecido por muitos como o Protetor Verde, é um peculiar meio-homem, meio-árvore que vagueia pelas florestas de Runeterra, cultivando vida por onde ele passa. Ele conhece os segredos do mundo natural, e cultiva amizades profundas com...;Suporte / Mago;Média;['Amigo da Floresta', 'Encantador de Raízes', 'Formação de Arbustos', 'Semente Engatilhada', 'Margarida!'];['Ivern Rei dos Doces', 'Ivern Mestre da Enterrada', 'Ivern Deus Antigo', 'Ivern Astronauta'];https://www.leagueoflegends.com//pt-br/champions/ivern/
Janna;Armada com o poder das ventanias de Runeterra, Janna é um misterioso e elemental espírito de vento que protege os desfavorecidos de Zaun. Alguns acreditam que Janna surgiu a partir dos clamores dos marinheiros de Runeterra, que rezavam por ventos mais...;Suporte / Mago;Média;['Brisa de Impulso', 'Ventania Uivante', 'Zéfiro', 'Olho da Tempestade', 'Monção'];['Janna Tempestuosa', 'Janna Hextec', 'Janna Rainha Gélida', 'Janna Vitoriosa', 'Janna Previsão do Tempo', 'Fnatic Janna', 'Janna Guardiã Estelar', 'Janna Espada Sagrada', 'Janna Feiticeira', 'Janna Guardiã das Areias', 'Janna Rainha de Batalha', 'Janna Rosa de Cristal', 'Janna Aura Cibernética', 'Janna Aura Cibernética de Prestígio', 'Janna Escamas Celestiais'];https://www.leagueoflegends.com//pt-br/champions/janna/
Jarvan IV;O Príncipe Jarvan, descendente da Dinastia Lumescudo, é o atual herdeiro do trono de Demacia. Criado para ser um exemplo das grandes virtudes de sua nação, ele é forçado a equilibrar as grandes expectativas colocadas sobre ele com seu próprio desejo de...;Lutador / Tanque;Média;['Cadência Marcial', 'Ataque do Dragão', 'Égide de Ouro', 'Estandarte Demaciano', 'Cataclisma'];['Patrulheiro Jarvan IV', 'Jarvan IV Caçador de Dragões', 'Jarvan IV Forja das Trevas', 'Jarvan IV Vitorioso', 'Jarvan IV Reinos Combatentes', 'Fnatic Jarvan IV', 'Jarvan IV Estrela Negra', 'SSG Jarvan IV', 'Jarvan IV Hextec', 'Jarvan IV Curtindo o Verão', 'Jarvan IV Fera Lunar', 'Jarvan IV Mundial 2021', 'Jarvan IV Emissário da Escuridão'];https://www.leagueoflegends.com//pt-br/champions/jarvan-iv/
Jax;Incomparável tanto por suas habilidades com armamentos incomuns quanto pelo seu sarcasmo mordaz, Jax é o último mestre de armas de Icathia conhecido. Depois de sua terra natal ter sido derrotada por sua própria arrogância ao libertar o Vazio, Jax e seu...;Lutador;Média;['Investida Implacável', 'Salto Atacante', 'Energizar', 'Contra-Ataque', 'Grão-Mestre de Armas'];['O Super Jax', 'Jax Vândalo', 'Jax Pescador', 'PAX Jax', 'Jaximus', 'Jax Oriental', 'Jax Nêmesis', 'SKT T1 Jax', 'Jax Vigia', 'Jax Cajado Divino', 'Jax Reinos Mech', 'Jax Conquistador', 'Jax Conquistador de Prestígio', 'Jax Empíreo', 'Neo PAX Jax', 'PROJETO: Jax'];https://www.leagueoflegends.com//pt-br/champions/jax/
Jayce;Jayce é um brilhante inventor que dedicou sua vida a defender Piltover e sua implacável busca pelo progresso. Com seu martelo hextech transformador em mãos, Jayce usa sua força, coragem e considerável inteligência para proteger sua cidade natal. Embora...;Atirador / Lutador;Média;['Capacitor Hextec', 'Aos Céus! / Disparo Chocante', 'Campo Elétrico / Hipercarga', 'Golpe Trovejante / Portão Acelerador', 'Canhão de Mercúrio / Martelo de Mercúrio'];['Jayce Blindado', 'Jayce Galante', 'Jayce Esquecido', 'Jayce, o Martelo Iluminado', 'Jayce Academia de Batalha', 'Jayce da Resistência', 'Jayce Arcane', 'Jayce Zenith Games'];https://www.leagueoflegends.com//pt-br/champions/jayce/
Jhin;Jhin é um meticuloso psicopata criminoso que acredita que o assassinato é uma arte. Outrora um prisioneiro ioniano, mas libertado por membros obscuros do conselho regimental de Ionia, o assassino serial agora trabalha como assassino de seu conluio...;Atirador / Mago;Média;['Sussurro', 'Granada Dançante', 'Florescer Mortal', 'Audiência Cativa', 'Aclamação'];['Jhin Velho Oeste', 'Jhin Lua Sangrenta', 'SKT T1 Jhin', 'PROJETO: Jhin', 'Jhin Cosmos Negro', 'Jhin Pergaminhos Shan Hai', 'Jhin DWG', 'Jhin Empíreo', 'Jhin Soul Fighter', 'Jhin Erradicação do Cosmos Negro'];https://www.leagueoflegends.com//pt-br/champions/jhin/
Jinx;Uma criminosa impulsiva e maníaca de Zaun, Jinx vive para disseminar o caos sem se preocupar com as consequências. Com um arsenal de armas mortais, ela detona as explosões mais altas e mais luminosas para deixar um rastro de destruição e pânico por onde...;Atirador;Média;['Anime-se!', 'Trocando!', 'Zap!', 'Mordidinha Flamejante!', 'Super Mega Míssil da Morte!'];['Jinx Cidade do Crime', 'Jinx Fogos de Artifício', 'Jinx Caça-Zumbis', 'Jinx Guardiã Estelar', 'Jinx Duende Ambiciosa', 'Jinx Odisseia', 'PROJETO: Jinx', 'Jinx Cupido Mortal', 'Jinx Arcane', 'Jinx Felina de Batalha', 'Jinx Felina de Batalha de Prestígio', 'Jinx Kawaii Café'];https://www.leagueoflegends.com//pt-br/champions/jinx/
K'Sante;Corajoso e desafiador, K'Sante enfrenta feras colossais e Ascendentes cruéis para proteger seu lar, Nazumah — um cobiçado oásis no meio das areias de Shurima. Entretanto, após uma desavença com seu antigo parceiro, K'Sante entendeu que, para se tornar...;Tanque / Lutador;Alta;['Instinto Valente', 'Golpes de Ntofo', 'Criador de Caminhos', 'Passo Forte', 'Forma Irrestrita'];"[""K'Sante Empíreo"", ""K'Sante Empíreo de Prestígio"", ""K'Sante HEARTSTEEL""]";https://www.leagueoflegends.com//pt-br/champions/k-sante/
Kai'Sa;Capturada pelo Vazio quando era apenas uma criança, Kai'Sa conseguiu sobreviver por pura persistência e força de vontade. Suas experiências fizeram dela uma caçadora mortal e, para alguns, o prenúncio de um futuro que seria melhor não viver para ver...;Atirador / Mago;Média;['Segunda Pele', 'Chuva Icathiana', 'Exploradora do Vazio', 'Sobrecarga', 'Instinto Assassino'];"[""Kai'Sa Disparos Angelicais"", ""Kai'Sa K/DA"", ""Kai'Sa K/DA de Prestígio"", ""IG Kai'Sa"", ""Kai'Sa Fliperama"", ""Kai'Sa K/DA ALL OUT"", ""Kai'Sa K/DA ALL OUT de Prestígio"", ""Kai'Sa Dragoa da Laguna"", ""Kai'Sa K/DA de Prestígio (2022)"", ""Kai'Sa Guardiã Estelar"", ""Kai'Sa Tinta Sombria"", ""Kai'Sa Escamas Celestiais""]";https://www.leagueoflegends.com//pt-br/champions/kai-sa/
Kalista;Um espectro de ira e retaliação, Kalista é o espírito imortal da vingança, um pesadelo blindado invocado da Ilhas das Sombras para caçar desertores e traidores. Os traídos podem clamar em sangue para serem vingados, mas Kalista apenas responde àqueles...;Atirador;Média;['Aprumo Marcial', 'Perfurar', 'Vigia', 'Lacerar', 'Chamado do Destino'];['Kalista Lua Sangrenta', 'Kalista Mundial 2015', 'SKT T1 Kalista', 'Kalista Saqueadora', 'Kalista Corte das Fadas'];https://www.leagueoflegends.com//pt-br/champions/kalista/
Karma;Nenhum mortal representa melhor as tradições espirituais de Ionia do que Karma. Ela é a incorporação de uma alma reencarnada inúmeras vezes, que leva todas as memórias acumuladas para cada nova vida e que foi agraciada com um poder que poucos...;Mago / Suporte;Média;['Ímpeto Ardente', 'Chama Interior', 'Decisão Absorta', 'Inspiração', 'Mantra'];['Karma Deusa do Sol', 'Karma Flor de Cerejeira', 'Karma Tradicional', 'Karma Ordem do Lótus', 'Karma Vigia', 'Karma Inverno Mágico', 'Karma Conquistadora', 'Karma Estrela Negra', 'Karma Emissária da Luz', 'Karma Odisseia', 'Karma Destruída', 'Karma Dragoa da Tranquilidade', 'Karma Rainha das Fadas', 'Karma Infernal'];https://www.leagueoflegends.com//pt-br/champions/karma/
Karthus;Sendo o presságio do fim, Karthus é um espírito imortal cujas canções assombradoras são um prelúdio para o terror de sua aparição horripilante. Os vivos temem a eternidade dos mortos-vivos, mas Karthus vê apenas beleza e pureza em seu abraço, uma união...;Mago;Média;['Desafio da Morte', 'Devastar', 'Barreira da Dor', 'Perverter', 'Réquiem'];['Karthus Cerimônia das Trevas', 'Karthus da Liberdade', 'Karthus Lacaio da Morte', 'Karthus Pentakill', 'Fnatic Karthus', 'Karthus Bane-luz', 'Karthus Infernal', 'Karthus Pentakill III: Lost Chapter', 'Karthus Sabugueiro'];https://www.leagueoflegends.com//pt-br/champions/karthus/
Kassadin;Cortando uma trilha de fogo pelos lugares mais sombrios do mundo, Kassadin sabe que seus dias estão contados. Outrora um aventureiro e guia shurimane, ele escolheu criar uma família perto das tribos pacíficas do sul, até o dia em que sua vila foi...;Assassino / Mago;Alta;['Pedra do Vazio', 'Esfera Nula', 'Lâmina Ínfera', 'Força de Pulso', 'Caminhar na Fenda'];['Kassadin do Festival', 'Kassadin das Profundezas', 'Kassadin Pré-Vazio', 'Kassadin Emissário das Trevas', 'Kassadin Rapinante Cósmico', 'Conde Kassadin', 'Kassadin Hextec', 'Kassadin Lâmina do Trovão', 'Kassadin Dracomante'];https://www.leagueoflegends.com//pt-br/champions/kassadin/
Katarina;Decisiva em seus julgamentos e letal em combate, Katarina é a assassina de maior calibre de Noxus. Filha mais velha do lendário General Du Couteau, Katarina é reconhecida por seus assassinatos eficientes contra inimigos desavisados. Sua ambição ardente...;Assassino / Mago;Alta;['Voracidade', 'Lâmina Saltitante', 'Preparação', 'Shunpo', 'Lótus da Morte'];['Katarina Mercenária', 'Katarina Árbitra', 'Katarina Águas de Sentina', 'Katarina Gatinha', 'Katarina Comandante', 'Katarina Tempestade de Areia', 'Katarina Noite Infeliz', 'Katarina Reinos Combatentes', 'PROJETO: Katarina', 'Katarina Jurada de Morte', 'Katarina Academia de Batalha', 'Katarina Lua Sangrenta', 'Katarina Rainha de Batalha', 'Katarina Velho Oeste', 'Katarina Corte das Fadas', 'Katarina Corte das Fadas de Prestígio'];https://www.leagueoflegends.com//pt-br/champions/katarina/
Kayle;Nascida de um Aspecto targonense no auge das Guerras Rúnicas, Kayle honrava o legado de sua mãe lutando por justiça com asas de chamas divinas. Ela e sua irmã gêmea, Morgana, foram as protetoras de Demacia por muitos anos, até Kayle se desiludir com as...;Mago / Atirador;Média;['Ascensão Divina', 'Explosão Radiante', 'Bênção Celestial', 'Lâmina de Fogo Estelar', 'Sentença Divina'];['Kayle Prateada', 'Kayle Viridiana', 'Kayle Transcendida', 'Kayle Nascida para a Batalha', 'Kayle Juíza', 'Kayle Asas Etéreas', 'Riot Kayle', 'Kayle Inquisidora de Ferro', 'Pentakayle', 'Kayle PsyOps', 'Kayle Caçadora de Dragões', 'Kayle Pentakill III: Lost Chapter', 'Kayle Devoradora do Sol', 'Kayle Jornada Imortal', 'Kayle Empírea', 'Kayle Empírea de Prestígio'];https://www.leagueoflegends.com//pt-br/champions/kayle/
Kayn;Inigualável praticante da letal magia sombria, Shieda Kayn luta para alcançar seu verdadeiro destino: um dia comandar a Ordem das Sombras rumo a uma nova era de supremacia ioniana. Indiferente à maquiavélica degradação que ela causa em seu corpo e mente...;Lutador / Assassino;Alta;['A Foice Darkin', 'Corte Ceifador', 'Alcance da Lâmina', 'Passo das Sombras', 'Transgressão do Umbral'];['Kayn Caçador de Almas', 'Kayn Odisseia', 'Kayn Emissário da Escuridão', 'Kayn Emissário da Escuridão de Prestígio', 'Kayn Lua Nevada', 'Kayn HEARTSTEEL'];https://www.leagueoflegends.com//pt-br/champions/kayn/
Kennen;Mais do que um protetor rápido como um raio do equilíbrio ioniano, Kennen é o único yordle membro da Kinkou. Apesar da sua estatura pequena e peluda, ele anseia por ir contra qualquer ameaça com uma tempestade desenfreada de shurikens e entusiasmo sem...;Mago;Média;['Marca da Tormenta', 'Shuriken Trovejante', 'Surto Elétrico', 'Investida Relâmpago', 'Turbilhão Cortante'];['Kennen Mortífero', 'Kennen Mestre do Pântano', 'Kennen Carateca', 'Kennen Clínico Geral', 'Kennen Operação no Ártico', 'Kennen Lua Sangrenta', 'Super Kennen', 'Kennen Infernal', 'Kennen DWG', 'Kennen Astronauta'];https://www.leagueoflegends.com//pt-br/champions/kennen/
Kha'Zix;O Vazio cresce e o Vazio se adapta, e nenhuma de suas outras criaturas incorpora isso tão bem quanto Kha'Zix. A evolução é o que impulsiona a essência desse horror mutável, nascido para sobreviver e destruir os mais fortes. Qualquer momento de...;Assassino;Média;['Ameaça Invisível', 'Sabor de Medo', 'Espinho do Vazio', 'Pulo', 'Massacre do Vazio'];"[""Mech Kha'Zix"", ""Kha'Zix Guardião das Areias"", ""Kha'Zix Florescência Mortal"", ""Kha'Zix Estrela Negra"", ""Kha'Zix Mundial 2018"", ""Kha'Zix Odisseia"", ""Kha'Zix Guardião Lunar"", ""Kha'Zix Crystalis Indomitus""]";https://www.leagueoflegends.com//pt-br/champions/kha-zix/
Kindred;Distintos, mas nunca separados, os Kindred representam as essências gêmeas da morte. O arco da Ovelha propicia uma rápida transição do mundo mortal para aqueles que aceitam seu destino. O Lobo caça aqueles que fogem de seu fim, entregando-lhes a...;Atirador;Média;['Marca Familiar', 'Dança de Flechas', 'Frenesi do Lobo', 'Pesar Crescente', 'Refúgio da Ovelha'];['Kindred Fogo Sombrio', 'Kindred Supergalácticos', 'Kindred Florescer Espiritual', 'Kindred de Porcelana', 'Kindred Doguinho e Ovelha', 'Kindred DRX', 'Kindred de Porcelana de Prestígio'];https://www.leagueoflegends.com//pt-br/champions/kindred/
Kled;Um guerreiro tão destemido quanto irascível, o yordle Kled representa a bravata furiosa de Noxus. Ele é um ícone amado pelos soldados do império, rejeitado por seus oficiais e abominado pela nobreza. Muitos dizem que Kled lutou em cada batalha que as...;Lutador;Média;['Skaarl, a Lagarto Covarde', 'Armadilha na Corda', 'Tendências Violentas', 'Justar', 'Avançaaaaaaar!!!'];['Sir Kled', 'Conde Klédula', 'Kled Saqueador', 'Kled Cabeça de Ração'];https://www.leagueoflegends.com//pt-br/champions/kled/
Kog'Maw;Vomitado para fora de uma aparição podre do Vazio nas profundezas das terras desertas de Icathia, Kog'Maw é uma criatura inquisitiva e pútrida com uma boca cáustica gigantesca. Essa criatura do Vazio em particular precisa morder e babar em qualquer...;Atirador / Mago;Média;['Surpresa Icathiana', 'Cusparada Cáustica', 'Barragem Bio-Arcana', 'Gosma do Vazio', 'Artilharia Viva'];"[""Kog'Maw Taturana"", ""Kog'Maw Escaravelho"", ""Kog'Maw Monarca"", ""Kog'Maw Rena"", ""Kog'Maw Leão Chinês"", ""Kog'Maw das Profundezas"", ""Kog'Maw Jurássico"", ""Kog'Maw Máquina de Combate"", ""Pug'Maw"", ""Kog'Maw Hextec"", ""Kog'Maw Arcanista"", ""Kog'Mel"", ""Zap'Maw"", ""Kog'Maw Pergaminhos Shan Hai"", ""Kog'Maw Vitorioso""]";https://www.leagueoflegends.com//pt-br/champions/kog-maw/
LeBlanc;Misteriosa mesmo para os outros membros da Rosa Negra, LeBlanc é somente um dos muitos nomes de uma mulher pálida que tem manipulado pessoas e eventos desde os primeiros dias de Noxus. Usando sua magia para espelhar a si mesma, a feiticeira pode...;Assassino / Mago;Alta;['Imagem-Espelho', 'Sigilo de Malícia', 'Distorção', 'Correntes Etéreas', 'Mímica'];['LeBlanc Cruel', 'LeBlanc Prestigiosa', 'LeBlanc Natalina', 'LeBlanc Corvinata', 'LeBlanc Sabugueiro', 'LeBlanc Cibernética', 'IG LeBlanc', 'LeBlanc Congregação das Bruxas', 'LeBlanc Mundial 2020', 'LeBlanc Congregação das Bruxas de Prestígio', 'LeBlanc Galante', 'LeBlanc Feiticeira', 'LeBlanc Lenda Ascendida'];https://www.leagueoflegends.com//pt-br/champions/leblanc/
Lee Sin;Um mestre das artes marciais ancestrais de Ionia, Lee Sin é um lutador de princípios fortes que canaliza a essência do espírito do dragão para enfrentar qualquer desafio. Apesar de ter perdido a visão há muitos anos, o monge guerreiro dedicou sua vida a...;Lutador / Assassino;Média;['Agitação', 'Onda Sônica / Ataque Ressonante', 'Proteger / Vontade de Ferro', 'Tempestade / Mutilar', 'Fúria do Dragão'];['Lee Sin Tradicional', 'Lee Sin Acólito', 'Lee Sin Punhos de Aço', 'Lee Sin Muay Thai', 'Lee Sin Curtindo o Verão', 'SKT T1 Lee Sin', 'Lee Sin Nocaute', 'Lee Sin Punhos Divinos', 'Lee Sin Armador de Jogadas', 'Lee Sin Emissário da Escuridão', 'Lee Sin Emissário da Escuridão de Prestígio', 'FPX Lee Sin', 'Lee Sin Dragão da Tormenta', 'Lee Sin Emissário da Escuridão de Prestígio (2022)', 'Lee Sin Zenith Games', 'Lee Sin Escamas Celestiais', 'Lee Sin Escamas Celestiais Divinas'];https://www.leagueoflegends.com//pt-br/champions/lee-sin/
Leona;Impregnada pelas chamas do sol, Leona é uma guerreira sagrada de Solari que defende o Monte Targon com sua Lâmina Zênite e a Proteção da Aurora. Sua pele brilha com fogo solar enquanto seus olhos queimam com o poder do Aspecto celestial que nela existe...;Tanque / Suporte;Média;['Luz do Sol', 'Proteção da Aurora', 'Eclipse', 'Lâmina Zênite', 'Labareda Solar'];['Leona Valquíria', 'Leona Paladina', 'Leona Solari de Ferro', 'Leona Curtindo o Verão', 'PROJETO: Leona', 'Leona Churrasqueira', 'Leona Eclipse Solar', 'Leona Eclipse Lunar', 'Leona Reinos Mech', 'Leona Academia de Batalha', 'Leona DWG', 'Leona Academia de Batalha de Prestígio', 'Leona Galante', 'Leona Velho Oeste', 'Leona Crystalis Motus'];https://www.leagueoflegends.com//pt-br/champions/leona/
Lillia;Extremamente tímida, Lillia, a faunesa feérica, percorre saltitante as florestas de Ionia. Sempre escondida a pouca distância dos humanos — cuja misteriosa natureza lhe causa fascínio e, ao mesmo tempo, receio — Lillia espera descobrir por que os sonhos...;Lutador / Mago;Alta;['Ramo Onírico', 'Golpes Florescentes', 'Cuidado! Iiip!', 'Semente Espiral', 'Cadência de Ninar'];['Lillia Florescer Espiritual', 'Lillia Emissária da Escuridão', 'Lillia Pergaminhos Shan Hai', 'Lillia Corte das Fadas'];https://www.leagueoflegends.com//pt-br/champions/lillia/
Lissandra;A magia de Lissandra transforma o poder bruto do gelo em algo sombrio e terrível. Com a força do seu gelo sombrio, ela faz mais do que congelar — ela perfura e destrói todos que se opões a ela. Entre os aterrorizados habitantes do norte, ela é conhecida...;Mago;Média;['Submissão Glacinata', 'Estilhaço de Gelo', 'Círculo Ártico', 'Caminho Glacial', 'Túmulo Congelado'];['Lissandra Hematita', 'Lissandra Donzela de Ferro', 'Lissandra Cibernética', 'Lissandra Congregação das Bruxas', 'Lissandra Cosmos Negro', 'Lissandra de Porcelana', 'Lissandra de Porcelana de Prestígio', 'Lissandra Embalos no Espaço'];https://www.leagueoflegends.com//pt-br/champions/lissandra/
Lucian;Lucian, um Sentinela da Luz, é um caçador de espíritos imortais que usa suas pistolas relicárias para persegui-los implacavelmente e, por fim, aniquilá-los. Após o assassinato de sua esposa pelas mãos do espectro Thresh, Lucian embarcou em uma jornada...;Atirador / Assassino;Média;['Disparo Iluminado', 'Luz Perfurante', 'Chama Ardente', 'Perseguição Implacável', 'O Expurgo'];['Lucian Mercenário', 'Lucian Atacante', 'PROJETO: Lucian', 'Lucian Cupido Mortal', 'Lucian Velho Oeste', 'Lucian Demacia Vice', 'Pulsefire Lucian', 'Pulsefire Lucian de Prestígio', 'Lucian Vitorioso', 'Lucian Arcana', 'Lucian Paladino de Ataque', 'Lucian Bênção do Inverno'];https://www.leagueoflegends.com//pt-br/champions/lucian/
Lulu;A maga yordle Lulu é conhecida por conjurar ilusões de sonhos e criaturas fantasiosas enquanto vaga por Runeterra com seu silfo companheiro, Pix. Lulu transforma a realidade por capricho, distorcendo o que ela vê como restrições desse banal reino físico...;Suporte / Mago;Média;['Pix, o Silfo Companheiro', 'Lança-Purpurina', 'Caprichos', 'Socorro, Pix!', 'Crescimento Virente'];['Lulu Doceira Macabra', 'Lulu Perversa', 'Lulu Treinadora de Dragões', 'Lulu Inverno Mágico', 'Lulu Curtindo o Verão', 'Lulu Guardiã Estelar', 'Lulu Feiticeira Cósmica', 'Lulu Pijaminha Estelar', 'Lulu Embalos no Espaço', 'Lulu Embalos no Espaço de Prestígio', 'Lulu Domadora de Monstros', 'Lulu Kawaii Café'];https://www.leagueoflegends.com//pt-br/champions/lulu/
Lux;Luxanna Stemmaguarda nasceu em Demacia, um reino insular onde habilidades mágicas são vistas com medo e desconfiança. Capaz de dobrar a luz à sua vontade, ela cresceu temendo ser descoberta e exilada, e foi forçada a manter seus poderes em segredo a fim...;Mago / Suporte;Média;['Iluminação', 'Ligação da Luz', 'Barreira Prismática', 'Singularidade Lucente', 'Centelha Final'];['Lux Feiticeira', 'Lux Ladra Arcana', 'Patrulheira Lux', 'Lux Imperial', 'Lux Legionária de Aço', 'Lux Guardiã Estelar', 'Lux Elementalista', 'Lux Imperatriz Lunar', 'Lux Pijaminha Estelar', 'Lux Academia de Batalha', 'Lux Academia de Batalha de Prestígio', 'Lux Cosmos Negro', 'Lux Cósmica', 'Lux Embalos no Espaço', 'Lux de Porcelana', 'Lux Soul Fighter', 'Lux Academia de Batalha de Prestígio (2022)', 'Lux de Porcelana de Prestígio', 'Lux Empírea', 'Lux Corte das Fadas'];https://www.leagueoflegends.com//pt-br/champions/lux/
